EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,09/01/2009,AD_PRES,24000,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,12/07/2011,AD_VP,17000,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,03/31/2015,AD_VP,17000,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,03/20/2012,IT_PROG,9000,102,60
104,Bruce,Ernst,BERNST,590.423.4568,08/05/2013,IT_PROG,6000,103,60
105,David,Austin,DAUSTIN,590.423.4569,09/10/2019,IT_PROG,4800,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,04/22/2020,IT_PROG,4800,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,04/24/2021,IT_PROG,4200,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,11/01/2016,FI_MGR,12000,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,10/31/2016,FI_ACCOUNT,9000,108,100
110,John,Chen,JCHEN,515.124.4269,12/14/2019,FI_ACCOUNT,8200,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,12/16/2019,FI_ACCOUNT,7700,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,05/22/2020,FI_ACCOUNT,7800,108,100
113,Luis,Popp,LPOPP,515.124.4567,02/21/2022,FI_ACCOUNT,6900,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,02/21/2017,PU_MAN,11000,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,08/02/2017,PU_CLERK,3100,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,03/10/2020,PU_CLERK,2900,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,10/09/2019,PU_CLERK,2800,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,01/30/2021,PU_CLERK,2600,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,10/25/2021,PU_CLERK,2500,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,10/03/2018,ST_MAN,8000,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,06/26/2019,ST_MAN,8200,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,07/16/2017,ST_MAN,7900,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,12/26/2019,ST_MAN,6500,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,01/31/2022,ST_MAN,5800,100,50
125,Julia,Nayer,JNAYER,650.124.1214,10/01/2019,ST_CLERK,3200,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,12/13/2020,ST_CLERK,2700,120,50
127,James,Landry,JLANDRY,650.124.1334,03/31/2021,ST_CLERK,2400,120,50
128,Steven,Markle,SMARKLE,650.124.1434,05/24/2022,ST_CLERK,2200,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,11/05/2019,ST_CLERK,3300,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,01/15/2020,ST_CLERK,2800,121,50
131,James,Marlow,JAMRLOW,650.124.7234,05/04/2019,ST_CLERK,2500,121,50
132,TJ,Olson,TJOLSON,650.124.8234,06/25/2021,ST_CLERK,2100,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,08/30/2018,ST_CLERK,3300,122,50
134,Michael,Rogers,MROGERS,650.127.1834,11/10/2020,ST_CLERK,2900,122,50
135,Ki,Gee,KGEE,650.127.1734,02/26/2022,ST_CLERK,2400,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,04/23/2022,ST_CLERK,2200,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,09/28/2017,ST_CLERK,3600,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,01/11/2020,ST_CLERK,3200,123,50
139,John,Seo,JSEO,650.121.2019,04/29/2020,ST_CLERK,2700,123,50
140,Joshua,Patel,JPATEL,650.121.1834,06/21/2020,ST_CLERK,2500,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,01/01/2018,ST_CLERK,3500,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,04/16/2019,ST_CLERK,3100,124,50
143,Randall,Matos,RMATOS,650.121.2874,05/30/2020,ST_CLERK,2600,124,50
144,Peter,Vargas,PVARGAS,650.121.2004,09/23/2020,ST_CLERK,2500,124,50
145,John,Russell,JRUSSEL,011.44.1344.429268,12/17/2018,SA_MAN,14000,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,03/23/2019,SA_MAN,13500,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,05/26/2019,SA_MAN,12000,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,12/30/2021,SA_MAN,11000,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,04/15/2022,SA_MAN,10500,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,04/17/2019,SA_REP,10000,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,06/09/2019,SA_REP,9500,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,11/05/2019,SA_REP,9000,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,06/14/2020,SA_REP,8000,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,02/23/2021,SA_REP,7500,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,02/07/2022,SA_REP,7000,145,80
156,Janette,King,JKING,011.44.1345.429268,04/16/2018,SA_REP,10000,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,05/20/2018,SA_REP,9500,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,10/17/2018,SA_REP,9000,146,80
