CUSTOMER_ID,FULL_NAME,EMAIL_ADDRESS
286,Wilfred Welch,wilfred.welch@internalmail
287,Kristina Nunez,kristina.nunez@internalmail
288,Mable Ballard,mable.ballard@internalmail
289,Diane Wilkerson,diane.wilkerson@internalmail
290,Sheryl Banks,sheryl.banks@internalmail
291,Opal Cruz,opal.cruz@internalmail
292,Dale Hughes,dale.hughes@internalmail
293,Diana Fowler,diana.fowler@internalmail
294,Travis Schwartz,travis.schwartz@internalmail
295,Anthony Boone,anthony.boone@internalmail
296,Tim Harmon,tim.harmon@internalmail
297,Kristin Brooks,kristin.brooks@internalmail
298,Kathy Dennis,kathy.dennis@internalmail
299,Vickie James,vickie.james@internalmail
300,Sandra Bass,sandra.bass@internalmail
301,Nelson Tate,nelson.tate@internalmail
302,Tiffany Pena,tiffany.pena@internalmail
303,Jeannette Hunt,jeannette.hunt@internalmail
304,Willie Cunningham,willie.cunningham@internalmail
305,Paulette Byrd,paulette.byrd@internalmail
306,Tasha Cobb,tasha.cobb@internalmail
307,Eloise Burton,eloise.burton@internalmail
308,Felix Fox,felix.fox@internalmail
309,Gary Barton,gary.barton@internalmail
310,Tracy Mcbride,tracy.mcbride@internalmail
311,Lorita Koenig,lorita.koenig@internalmail
312,Kaleigh Meade,kaleigh.meade@internalmail
313,Lexie Magee,lexie.magee@internalmail
314,Landon Neville,landon.neville@internalmail
315,Lillia Talbott,lillia.talbott@internalmail
316,Dinah Paredes,dinah.paredes@internalmail
317,Mercy Whiting,mercy.whiting@internalmail
318,Thomas Huddleston,thomas.huddleston@internalmail
319,Rubi Carlisle,rubi.carlisle@internalmail
320,Vivien Cameron,vivien.cameron@internalmail
321,Maia Leggett,maia.leggett@internalmail
322,Florencia Kohler,florencia.kohler@internalmail
323,Lucila Heck,lucila.heck@internalmail
324,Kendrick Caraballo,kendrick.caraballo@internalmail
325,Annemarie Pinckney,annemarie.pinckney@internalmail
326,Carmella Avalos,carmella.avalos@internalmail
327,Jules Ruffin,jules.ruffin@internalmail
328,Tish Stapleton,tish.stapleton@internalmail
329,Elin Seidel,elin.seidel@internalmail
330,Shawn Sorenson,shawn.sorenson@internalmail
331,Winfred August,winfred.august@internalmail
332,Virgie Breeden,virgie.breeden@internalmail
333,Ericka Oconner,ericka.oconner@internalmail
334,Cheree Kemp,cheree.kemp@internalmail
335,Rayford Salley,rayford.salley@internalmail
336,Zulma Olds,zulma.olds@internalmail
337,Salena Wadsworth,salena.wadsworth@internalmail
338,Mohammad Cervantes,mohammad.cervantes@internalmail
339,Tanja Vanover,tanja.vanover@internalmail
340,Lonnie Colby,lonnie.colby@internalmail
341,Monte Calloway,monte.calloway@internalmail
342,Melisa Banda,melisa.banda@internalmail
343,Gisela Costello,gisela.costello@internalmail
344,Libby Krauss,libby.krauss@internalmail
345,Mireille Pauley,mireille.pauley@internalmail
346,Hassie Grogan,hassie.grogan@internalmail
347,Chi Mcwhorter,chi.mcwhorter@internalmail
348,Connie Delagarza,connie.delagarza@internalmail
349,Britney Gable,britney.gable@internalmail
350,Lorilee Bautista,lorilee.bautista@internalmail
351,Anisa Kurtz,anisa.kurtz@internalmail
352,Maryalice Evers,maryalice.evers@internalmail
353,Andria Myles,andria.myles@internalmail
354,Dede Bundy,dede.bundy@internalmail
355,Twila Hilliard,twila.hilliard@internalmail
356,Gene Mcginnis,gene.mcginnis@internalmail
357,Shaquana Carney,shaquana.carney@internalmail
358,Gita Dobbs,gita.dobbs@internalmail
359,Dorathy Hutchings,dorathy.hutchings@internalmail
360,Shirley Ward,shirley.ward@internalmail
361,Frank Perez,frank.perez@internalmail
362,Barbara Allen,barbara.allen@internalmail
363,Justin King,justin.king@internalmail
364,Harold Griffin,harold.griffin@internalmail
365,Jeffrey Coleman,jeffrey.coleman@internalmail
366,Margaret Bennett,margaret.bennett@internalmail
367,Cheryl Phillips,cheryl.phillips@internalmail
368,Joan Miller,joan.miller@internalmail
369,Chris Powell,chris.powell@internalmail
370,Russell Rivera,russell.rivera@internalmail
371,Nancy Hall,nancy.hall@internalmail
372,Gerald Evans,gerald.evans@internalmail
373,Jennifer Cooper,jennifer.cooper@internalmail
374,Irene Moore,irene.moore@internalmail
375,Sean Adams,sean.adams@internalmail
376,Stephen Butler,stephen.butler@internalmail
